order id,order date,customer name,region,product category,sales,quantity,profit,discount
ORD0001,26-07-2025,Karthik Rao,South,Home Decor,14231.37,8,1562.83,0.05
ORD0002,16-07-2025,Vikram Das,North,Home Decor,37206.35,14,6703.89,0.25
ORD0003,11-07-2025,Pooja Menon,West,Sports,16731.72,15,3940.21,0.23
ORD0004,23-06-2025,Priya Sharma,North,Clothing,24412.03,2,2148.84,0.09
ORD0005,15-04-2025,Meera Nair,North,Clothing,39380.47,7,10390.24,0.21
ORD0006,03-07-2025,Rahul Verma,South,Sports,12900.08,15,3419.52,0.21
ORD0007,15-09-2025,Rohit Gupta,South,Electronics,9124.64,6,2175.62,0.17
ORD0008,11-02-2025,Aditya Roy,West,Sports,7365.4,10,1054.82,0.22
ORD0009,11-03-2025,Vikram Das,West,Furniture,67597.79,2,10517.85,0.22
ORD0010,07-10-2025,Karthik Rao,South,Office Supplies,70660.08,16,5524.59,0.32
ORD0011,04-11-2025,Sanjay Iyer,South,Home Decor,70650.53,4,8777.09,0.03
ORD0012,31-03-2025,Rahul Verma,West,Furniture,69385.91,18,12720.29,0.11
ORD0013,30-04-2025,Pooja Menon,East,Electronics,64482.09,12,6704.71,0.07
ORD0014,28-05-2025,Aarav Kumar,North,Office Supplies,17007.84,13,4157.98,0.12
ORD0015,17-07-2025,Karthik Rao,East,Home Decor,7857.16,2,1542.61,0.32
ORD0016,24-07-2025,Sanjay Iyer,West,Furniture,24044.99,8,3068.89,0.23
ORD0017,19-12-2025,Neha Joshi,East,Furniture,57535.5,8,9673.16,0.13
ORD0018,11-02-2025,Aditya Roy,West,Clothing,72321.69,9,11253.69,0.02
ORD0019,17-12-2025,Pooja Menon,East,Clothing,40460.07,9,5489.48,0.15
ORD0020,04-12-2025,Pooja Menon,South,Office Supplies,29042.94,20,5190.92,0.3
ORD0021,01-01-2026,Ananya Singh,South,Clothing,25926.68,7,5584.92,0.12
ORD0022,22-12-2025,Arjun Patel,South,Sports,50418.45,9,10794.75,0.23
ORD0023,28-12-2025,Sneha Reddy,West,Office Supplies,49585.17,1,9934.37,0.04
ORD0024,01-01-2025,Vikram Das,East,Sports,73394.19,6,17185.87,0.18
ORD0025,16-04-2025,Arjun Patel,West,Clothing,42467.62,20,9580.96,0.27
ORD0026,07-11-2025,Sanjay Iyer,East,Furniture,55703.34,4,4072.71,0.28
